Name,Type,Details,Price,EMI,Discount,Location
2014 Toyota Innova,2.5 ZX 7 STR BS IV Manual,"60,580 km2nd OwnerDiesel","₹1,349,699","₹30,023/month"," ₹50,000 OFF",Bengaluru
2014 Honda Mobilio,1.5 V OPT. I VTEC Manual,"70,926 km1st OwnerPetrol","₹567,799","₹12,630/month"," ₹31,000 OFF",Bengaluru
2012 Maruti Swift Dzire,VDI BS IV Manual,"97,180 km1st OwnerDiesel","₹509,499","₹11,334/month"," ₹9,000 OFF",Bengaluru
2019 Hyundai Elite i20,1.2 SPORTS PLUS VTVT CVT Automatic,890 km1st OwnerPetrol,"₹881,699","₹19,613/month"," ₹5,000 OFF",Bengaluru
2017 Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"38,596 km1st OwnerPetrol","₹398,499","₹8,864/month"," ₹34,000 OFF",Bengaluru
,,,,,,Bengaluru
,,,,,,Bengaluru
2017 Honda City,V MT PETROL Manual,"27,403 km2nd OwnerPetrol","₹858,799","₹19,104/month"," ₹50,000 OFF",Bengaluru
2016 Volkswagen Polo,GT TSI 1.2 PETROL AT Automatic,"17,717 km2nd OwnerPetrol","₹694,399","₹15,447/month"," ₹13,000 OFF",Bengaluru
2014 Hyundai Xcent,SX AT 1.2 OPT Automatic,"52,819 km1st OwnerPetrol","₹516,199","₹11,483/month"," ₹23,000 OFF",Bengaluru
2014 Hyundai Xcent,S 1.2 Manual,"38,002 km1st OwnerPetrol","₹482,999","₹10,744/month"," ₹32,000 OFF",Bengaluru
2018 Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"32,068 km1st OwnerPetrol","₹387,999","₹8,631/month"," ₹21,000 OFF",Bengaluru
2014 Maruti Wagon R 1.0,VXI Manual,"45,572 km1st OwnerPetrol","₹439,699","₹9,781/month"," ₹24,000 OFF",Bengaluru
2018 Ford FREESTYLE,TITANIUM + 1.2 TI-VCT Manual,"35,175 km1st OwnerPetrol","₹616,299","₹13,709/month"," ₹33,000 OFF",Bengaluru
2016 Maruti Baleno,DELTA 1.2 K12 Manual,"50,083 km1st OwnerPetrol","₹688,599","₹15,318/month"," ₹5,000 OFF",Bengaluru
2018 Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT Manual,"17,410 km2nd OwnerPetrol","₹628,099","₹13,972/month"," ₹31,000 OFF",Bengaluru
2017 Volkswagen Polo,COMFORTLINE 1.2L PETROL Manual,"38,489 km2nd OwnerPetrol","₹686,599","₹15,273/month"," ₹37,000 OFF",Bengaluru
2013 Volkswagen Polo,GT TSI 1.2 PETROL AT Automatic,"26,663 km3rd OwnerPetrol","₹664,599","₹14,784/month"," ₹35,000 OFF",Bengaluru
2014 Maruti Ritz,VXI BS IV Manual,"56,793 km1st OwnerPetrol","₹404,699","₹9,002/month"," ₹22,000 OFF",Bengaluru
2016 Maruti Baleno,ZETA 1.2 K12 Manual,"65,255 km1st OwnerPetrol","₹615,899","₹13,700/month"," ₹50,000 OFF",Bengaluru
2013 Hyundai Verna,FLUIDIC 1.6 SX VTVT Manual,"51,391 km3rd OwnerPetrol","₹589,299","₹13,109/month"," ₹31,000 OFF",Bengaluru
2016 Maruti Baleno,DELTA 1.2 K12 Manual,"33,724 km1st OwnerPetrol","₹615,799","₹13,698/month"," ₹33,000 OFF",Bengaluru
2018 Maruti Baleno,DELTA 1.2 K12 Manual,"29,487 km1st OwnerPetrol","₹589,499","₹13,113/month"," ₹31,000 OFF",Hyderabad
2017 Honda Jazz,1.2 V AT Automatic,"64,497 km2nd OwnerPetrol","₹633,799","₹14,099/month"," ₹25,000 OFF",Hyderabad
2017 Maruti Baleno,ZETA 1.2 K12 Manual,"63,831 km1st OwnerPetrol","₹614,599","₹13,671/month"," ₹33,000 OFF",Hyderabad
2018 Maruti Swift,ZXI AMT Automatic,"18,581 km1st OwnerPetrol","₹662,099","₹14,728/month"," ₹18,000 OFF",Hyderabad
2017 Maruti Swift Dzire,VDI OPT Manual,"19,935 km1st OwnerDiesel","₹668,199","₹14,864/month"," ₹16,000 OFF",Hyderabad
,,,,,,Hyderabad
,,,,,,Hyderabad
2015 Maruti Celerio,ZXI OPT Manual,"45,509 km2nd OwnerPetrol","₹368,399","₹8,195/month"," ₹20,000 OFF",Hyderabad
2018 Maruti IGNIS,DELTA 1.2 K12 Manual,"37,009 km1st OwnerPetrol","₹501,899","₹11,164/month"," ₹5,000 OFF",Hyderabad
2016 Hyundai Grand i10,MAGNA 1.2 VTVT Manual,"63,674 km1st OwnerPetrol","₹427,999","₹9,521/month"," ₹37,000 OFF",Hyderabad
2019 Maruti S PRESSO,VXI PLUS Manual,"29,101 km1st OwnerPetrol","₹463,099","₹10,301/month"," ₹19,000 OFF",Hyderabad
2019 Hyundai NEW SANTRO,1.1 SPORTS AMT Manual,"24,806 km1st OwnerPetrol","₹537,399","₹11,954/month"," ₹13,000 OFF",Hyderabad
2018 Maruti Vitara Brezza,ZDI AMT Automatic,"88,052 km2nd OwnerDiesel","₹840,999","₹18,708/month"," ₹13,000 OFF",Hyderabad
2015 Hyundai Grand i10,SPORTS 1.2 VTVT Manual,"33,165 km1st OwnerPetrol","₹428,999","₹9,543/month"," ₹23,000 OFF",Hyderabad
2015 Maruti Alto K10,VXI Manual,"33,751 km1st OwnerPetrol","₹282,099","₹6,275/month"," ₹15,000 OFF",Hyderabad
2017 Maruti Alto 800,LXI Manual,"35,080 km1st OwnerPetrol","₹303,299","₹6,747/month"," ₹16,000 OFF",Hyderabad
2010 Hyundai i10,MAGNA 1.2 Manual,"24,013 km1st OwnerPetrol","₹303,499","₹6,751/month"," ₹16,000 OFF",Hyderabad
2019 Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"11,900 km1st OwnerPetrol","₹442,099","₹9,834/month"," ₹18,000 OFF",Hyderabad
2017 Maruti Swift,VXI OPT Manual,"29,996 km2nd OwnerPetrol","₹510,299","₹11,351/month"," ₹35,000 OFF",Hyderabad
2016 Hyundai i20 Active,1.4 SX Manual,"57,997 km1st OwnerDiesel","₹660,699","₹14,697/month",,Hyderabad
2016 Ford Ecosport,1.5 TREND TI VCT Manual,"44,941 km1st OwnerPetrol","₹582,499","₹12,957/month"," ₹5,000 OFF",Hyderabad
2017 Maruti Alto 800,LXI OPT Manual,"20,768 km1st OwnerPetrol","₹305,899","₹6,805/month"," ₹10,000 OFF",Hyderabad
2018 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Manual,"18,130 km1st OwnerPetrol","₹850,199","₹18,912/month"," ₹12,000 OFF",Hyderabad
2019 Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT Automatic,"4,318 km1st OwnerPetrol","₹665,099","₹14,795/month"," ₹5,000 OFF",Hyderabad
2020 Maruti Baleno,ALPHA 1.2 K12 Manual,"28,752 km1st OwnerPetrol","₹746,499","₹16,605/month"," ₹16,000 OFF",Hyderabad
2018 Hyundai Elite i20,ASTA 1.2 Manual,"87,805 km1st OwnerPetrol","₹672,599","₹14,962/month"," ₹36,000 OFF",Hyderabad
2016 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT Manual,"7,894 km1st OwnerPetrol","₹461,999","₹10,277/month"," ₹24,000 OFF",Hyderabad
,,,,,,Hyderabad
,,,,,,Hyderabad
